brand,phone_name,phone_price,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi 9 Pro,797,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi 8A,88,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi 8,108,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi CC9 Pro,409,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi Note 10,420,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi redmi Note 8T,149,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi K30 5G,389,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi K30,290,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi 10 Pro,1012,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi 10,690,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi Note 9S,179,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi K30 Pro,507,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi 10 Lite Zoom,400,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S3,334,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S5,216,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S3 Mini VE,235,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S5 Mini,311,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy Alpha,178,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy Grand Prime,150,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy Core Prime,302,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy Grand Neo Plus,185,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy J1 mini,108,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy Xcover 3,342,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy J7,80,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy J3,152,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A3 (2016),244,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A5 (2016),247,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S7,200,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S7 Edge,189,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy J5 (2016),132,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy J3 (2016),172,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy Grand Prime+,150,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A3 (2017),238,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A5 (2017),280,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S8+,274,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S8,271,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy J5 (2017),216,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy Note 8,565,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy J2 (2018),173,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A8 (2018),270,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S9+,736,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S9,564,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy J2 Core,93,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy J6 (2018),195,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy J4+,166,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy Note 9,660,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A7 (2018),282,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A9 (2018),325,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy J4 Core,157,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A8s,409,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy M20,172,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S10e,445,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S10+,613,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S10,536,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A50,254,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A80,379,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A70,362,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A20e,148,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A20,167,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A40s,297,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A2 Core,130,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy Xcover 4s,244,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy Note10+,903,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy Note10,738,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A10s,141,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A30s,198,,,,,,,,,,,,,,,,,,,,,,,,,,
